Gene1,Gene2,Error
DONSON,TRA2B,0.35690975
ROMO1,SSBP1,0.3569559
CTNNBL1,MRPS14,0.35806745
MRPS11,RINT1,0.3589673
CCDC84,ZMAT5,0.36012048
EMC7,FDPS,0.36047286
NUBP1,ORAOV1,0.36265737
COPE,LUC7L3,0.36481032
HUS1,POLD1,0.36496902
MFAP1,SF3B1,0.36855197
CDC23,MINOS1-NBL1,0.36975968
FIP1L1,GOLT1B,0.3713202
NUP43,NUP85,0.37304682
LIAS,ZWINT,0.37312162
ATP6AP1,MRPS28,0.3731623
SEH1L,VPS29,0.37475234
ASCC3,SRP19,0.37484878
EIF4G1,MFAP1,0.3757978
OPA1,TIMM23B,0.37613142
QARS,TRA2B,0.37800357
NUP43,ZNRD1,0.38267243
MRPL15,PSMD4,0.38382906
NUP85,TRA2B,0.38507038
GTF2E1,NDUFB4,0.38552535
PPWD1,SDHC,0.38891274
ATP6AP1,MRPS21,0.38909858
NSMCE1,PMPCB,0.39007738
OPA1,POLE,0.39442778
INTS5,NCBP1,0.3980806
MED17,NEMF,0.39842772
DYNC1H1,RPL24,0.39967054
FDPS,RRM1,0.40781546
EMC4,EMC7,0.4107154
EMC7,MRPS14,0.41072243
CMAS,VPS29,0.41114432
KIAA1731,PWP1,0.41218436
Ltn1,POLE,0.41405332
PPWD1,SRSF7,0.41425514
FAM98B,SSB,0.41733015
CDC16,METTL17,0.42026788
POLD3,SLC35A1,0.42145404
LUC7L3,POLD3,0.42258576
MFAP1,TBC1D31,0.42351866
AURKA,EMC1,0.42592353
NUTF2,ZNF598,0.42689806
MASTL,SGOL1,0.43162996
ASCC3,USE1,0.43218
NDUFB4,POLN,0.43538183
NUTF2,QARS,0.45150083
EXOSC6,MRPL22,0.4549505
CEP63,MASTL,0.4571582
MRPS30,PDCD7,0.45804876
Ltn1,SAP18,0.46532124
EMC1,FDPS,0.46713483
AURKA,POLR3B,0.4806379
MRPL36,POLD3,0.48281837
CAPZB,TAF2,0.4849103
OPA1,RNGTT,0.486743
RPL36A,SLC7A1,0.49061954
KIF14,TIMM9,0.49724212
HSCB,MINOS1-NBL1,0.5032449
ATP6AP1,GTF3C3,0.50404894
BTF3,CMAS,0.5154798
CEP63,COX16,0.5347788
SGOL1,TBC1D31,0.53528106
EIF6,PSMD1,0.5372105
FDPS,SKIV2L,0.5419807
COPE,RPL23,0.5450524
APOOL,OPA1,0.5506624
BUB3,NUTF2,0.56704885
GTF2H1,PMPCB,0.57846946
CKAP5,FIP1L1,0.58504236
NOL8,RPL36A,0.58776605
CYB5B,OPA1,0.58812153
MED17,PDSS2,0.58816886
MED1,RRM1,0.60049844
ATP6AP1,SYVN1,0.601827
MED1,PPCS,0.6049315
PAXBP1,RPL24,0.6069369
ACTR10,COPS2,0.6075268
GEMIN2,MRPS11,0.6221614
BOD1L1,PRIM2,0.62717456
GINS4,MRPL19,0.6311018
EIF3C,MRPS14,0.6318334
BNIP1,POLN,0.6322135
MRPL36,NUTF2,0.634849
RPL32,ZWINT,0.63731897
MRPL32,PSMD12,0.63832307
CHMP2A,CYB5B,0.63943726
MRPS28,PDCD7,0.6413136
ATP5F1,SCYL1,0.64221066
NFYC,ZMAT5,0.64486104
EMC6,ERH,0.6457661
CCDC84,GEMIN2,0.64684176
EIF4G1,MCM3AP,0.65103227
BUB1B,XPO1,0.65233105
GTF2H4,ICT1,0.6536005
CDK12,MTBP,0.65587693
MRPL13,SSB,0.6576075
SGOL1,USE1,0.6589555
AURKA,RPL23,0.6611862
GTF2H4,TUBGCP4,0.6614164
MRPL24,TIMELESS,0.6622834
MTERFD1,PSMD1,0.66266507
EXOSC2,PSPH,0.66440445
ICT1,MTOR,0.6648226
