Gene1,Gene2,Error
CHMP2A,CYB5B,0.55478776
APOOL,OPA1,0.5551293
EMC6,ERH,0.5655179
BOD1L1,PRIM2,0.5693438
POLD3,SLC35A1,0.57334805
LONP1,WDR61,0.58563864
ATP6AP1,EMC4,0.5858147
MRPL36,POLD3,0.5871145
EXOSC2,PSPH,0.59597623
EMC7,MRPS14,0.5962192
COG3,NOL8,0.5983957
CCDC84,GEMIN2,0.5984082
CDC23,MINOS1-NBL1,0.6023705
PNN,PSMD12,0.60801554
CTNNBL1,MRPL13,0.6115314
KIF14,TIMM9,0.61315787
MRPL13,SSB,0.61842006
TTI2,WDR70,0.62003034
FDPS,SKIV2L,0.62293416
MRPS25,PSMD1,0.62296563
MRPL32,PSMD12,0.6230456
GTF2H4,ICT1,0.62406117
MED1,RRM1,0.627174
MRPS11,RINT1,0.62766
ATP5F1,SCYL1,0.631669
MED24,PET112,0.6330559
FAM98B,SSB,0.6361903
ICT1,MTOR,0.637508
ADPRM,PSMD4,0.6401342
ARIH1,ZCCHC9,0.64343584
TUBGCP5,XRN2,0.6452252
CDK12,MTBP,0.6495495
GTF2H4,TUBGCP4,0.652094
HSCB,MINOS1-NBL1,0.6521433
EIF6,PSMD1,0.65339124
GINS4,MRPL19,0.65805185
CEP63,RPL35,0.65808934
MRPL36,NUTF2,0.6613018
BUB1B,XPO1,0.663775
RPL8,VPS72,0.66426617
KCTD10,QARS,0.66548854
NFYC,ZMAT5,0.6668816
ATP6AP1,GEMIN4,0.6690977
CEP63,COX16,0.6701499
SGOL1,USE1,0.67325366
NUBP1,ORAOV1,0.67388666
MCM3AP,MRPL36,0.6742238
PSMB6,PSPH,0.6755683
DDX46,PSMD4,0.67761093
EIF3C,MRPS14,0.6794811
METAP2,WDR70,0.6858268
RPL32,ZWINT,0.6862096
DHODH,MTOR,0.6864985
NOL8,RPL36A,0.6883475
NUP54,TUBGCP3,0.6901033
MED22,ZNF830,0.6914123
BTF3,SDHC,0.69168323
DCAF7,GFI1B,0.6965272
MTERFD1,PSMD1,0.69673353
GEMIN2,MRPS11,0.7025574
EXOSC4,RPL10,0.70568204
PGK1,RPS18,0.7068321
RPL10,TIPIN,0.70785916
DONSON,MTOR,0.7089902
EXOSC4,MPHOSPH6,0.7117729
GFI1B,NOL8,0.71412545
INTS5,LARS,0.7174833
METAP2,SLC39A9,0.718488
ATP6AP1,GTF3C3,0.72154737
NDUFB1,USE1,0.72306955
